Title,Summary,Classification,Human_Safety,Infrastructure,Communication,Finance,Controllable
,"@AriFleischer the Facts PROVE @JoeBiden is an #Existential #Threat to this Country, The #Ukrain Embezelment , the #Putin talks, the HunterBiden #China Connection , Boatloads of #CASH to #IRAN ,the #Sexual #Assaults list goes #ON &amp; #ON #DemocratsAreDestroyingAmerica #DemocratsHateAmerica'",No threat,Safe,No impact,No impact,No impact,No
,"@AskAnshul The #communist #leftist are the biggest #internal #threat to #India's #security &amp; #stability These #antinational #forces neet to be #curbed &amp; #eliminated now #BanCPM #BanCPI #bancommunist""",Physical ,Not safe,No impact,No impact,No impact,No
,"@Avira's #ThreatIntelligence brings over-the horizon visibility to emerging #cyberthreats. They give you unparalleled access to the threat data gathered by our world-wide #sensor network and #malware detection engines. https://t.co/4m8s67cNLr""",No threat,Safe,No impact,No impact,No impact,No
,"@badiucao @alphacentauriii @walkleys What\xe2\x80\x99s this \xe2\x80\x9cexpenses-paid reporting #trip to #China\xe2\x80\x9d for foreign #reporters? Are #CCP #indoctrination, #honeytraps, #sextapes, #kickbacks, #ransoms, #espionage, #NDAs, #threats, etc are in the itinerary? Please clarify, @walkleys.  @JoshJPhilipp @ScottMorrisonMP @MarisePayne https://t.co/PoDc5RsDcu'",No threat,Possible safe,No impact,No impact,No impact,No
,"@BancoEstado, one of #Chile's three biggest #banks, was forced to shut down all branches on Monday following a #ransomware attack that took place over the weekend. #CyberAttack #technology #CybersecurityNews #businessnews https://t.co/9K224eyJ9Y""",Cyber,Safe,No impact,Impact,Impact,Yes
,@bb_thorat @uddhavthackeray @ravirajaINC @INCVinayPandey @VarshaEGaikwad @GaikwadSpeaks @MrccnorthWest  #Threat to Parents for school fees https://t.co/gIJJ8EByRU',Physical,Not safe,No impact,Impact,Impact,Yes
,"@blackbaud please explain to me why you did not secure both my young (under 13) daughter's personal information and had a #security #cyberattack resulting in the loss of their personal #data re: #donkeysanctuary I do not consider this #socialgood do you?""",Cyber,Possible safe,No impact,Impact,No impact,Yes
,@BlueGirlsRule @Norberta36 @MollyJongFast \xf0\x9f\x9a\xa8LOOK IN THIS #PHOTO/#GRAPHIC IN YOUR #TWEET THIS IS REGARDING ANY FORMS OF #THREATS A VIOLATION OF THIS #18USC844 USING ANY FORMS OF #SOCIALMEDIAPLATFORMS OR OTHER INSTRUMENTS OF #COMMUNICATIONS AND ITS A #FELONY SAY GOODBYE TO OWNING #FIREARMS AND #AMMUNITION AND #VOTING\xf0\x9f\x9a\xa8\xe2\x9a\x96\xef\xb8\x8f\xf0\x9f\x9a\x94 https://t.co/2rEj78mP9S',No threat,Safe,No impact,No impact,No impact,No
,@British_Airways Only #threats get your #money #refunded from #BritishAirways',No threat,Safe,Impact,No impact,Impact,No
,@BushidoToken is normally at the forefront of our efforts to get #cybersecurity in perspective. A highlight on the blog in August was his piece on #Magecart. Get educated on one of the foremost #threats to retail and consumers in 2020.  https://t.co/giJ7IE1QGF  #CyjaxInsights',No threat,Safe,No impact,Impact,No impact,Yes
,@CalebKorinya @machomario3 #Treat in place of #Threat??? Now I give up on this set of people...',No threat,Safe,No impact,No impact,No impact,No
,@candies2639 It\xe2\x80\x99s a #mobster run like #campaign where everything is done through #bribery #threats &amp; #pressure',Physical,Safe,No impact,No impact,Impact,Yes
,@ChhattisgarhCMO @dmawasthi_IPS86 @SPDurg @DurgPoliceCG  The Illegal #Irupee #cashtrain #icredit #snapit #credime #flashrupee #pandarupe  agent 8586052519  #Harrasing women #Threat #abusive @AmitShahOffice @helping_women pls help @RBI @RBIsays no one #nbfc following ur #guideline https://t.co/xF2W1vREoJ',Physical,Possible safe,No impact,No impact,No impact,Yes
,@CISecurity Bottom Line: Layered Protection is key to elevating overall internet #security. Hardware Security tools &amp; proactive #cyberawareness can stop expensive #cybersecurity #breaches #cybercrime #cyberthreats #malware #spyware #ransomware #phishing #cyberattacks https://t.co/5WMnmZPRqD',Cyber,Safe,No impact,Impact,Impact,Yes
,"@CNPakWW #warnings #threats by the minute. #PLA #3feetArmy #china #ccp #you #yourDada #xijinpig you'll are JOKES now for the entire world.  \xf0\x9f\x96\x95\xf0\x9f\xa4\xa3\xf0\x9f\x96\x95\xf0\x9f\x98\x82""",No threat,Safe,No impact,No impact,No impact,Yes
,@CSI #Fearless #Friday our brief on #insider #threats - a major risk in any organization. Thats why we believe in #cyber #awareness #training https://t.co/tPZrxHZXzr',Cyber,Safe,No impact,No impact,No impact,Yes
,@Cyberconnecting TRUE: Majority of #cybersecurity breaches are almost impossible to thwart as human error is at play. More robust #cyberaware training is critical to stopping #scams &amp; #cybercrime  #breaches #cyberattack #hacker #cyberthreat #malware #spyware #ransomware https://t.co/5WMnmZPRqD',Cyber,Safe,No impact,Impact,Impact,Yes
,"@CyberDefenseMag publisher #CDM @Miliefsky thrilled to have a Top 100 Women in Cybersecurity winner, Apurva Kumar, @abby_kcs Senior Threat Researcher at @Lookout in the #CDTV #HOTSEAT https://t.co/dEusmMmmlb #MOBILE #MALWARE #THREATS  #WOMEN #IN #CYBERSECURITY https://t.co/iHzIRYvpEp'",No threat,Safe,No impact,No impact,No impact,Yes
,@Daftarcom3 @TrumpWarRoom You are the #threat',No threat,Safe,No impact,No impact,No impact,Yes
,@DavidBCollum Sounds like a #threat to the #President.',No threat,Safe,No impact,No impact,No impact,Yes
,"@dbongino the Facts PROVE  @JoeBiden  is an #Existential #Threat to this Country, The #Ukrain Embezelment , the #Putin talks, the HunterBiden #China Connection , Boatloads of #CASH to #IRAN ,the #Sexual #Assaults list goes #ON &amp; #ON #DemocratsAreDestroyingAmerica #DemocratsHateAmerica'",Physical,Safe,No impact,No impact,Impact,Yes
